county,state,max_cases,avg_growth_rate,max_growth_rate,total_population,num_deaths,percent_smokers,percent_vaccinated,income_ratio,population_density_per_sqmi,percent_fair_or_poor_health,percent_unemployed_CHR,violent_crime_rate,chlamydia_rate,teen_birth_rate,total_cases,deaths_per_100k,cases_per_100k
Lucas,Ohio,17277,-46.08309199745375,0.999496475327291,250491.2205567452,3984.7002141327625,18.58986485919486,45.24197002141327,4.812905644476445,732.5883308193402,16.28704078396574,3.844279787349893,547.5669613876231,526.2329764453962,2975.2649541396145,6897.2477205388295,1590.754440525426,6897.2477205388295
Lumpkin,Georgia,1362,0.025006846097395664,0.5,31094,453,17.301286589,41,4.5665613273,109.89882930059343,17.208846791,3.5898049539,41.419081452,191.6,1157.2114027999999,4380.266289316267,1456.8727085611372,4380.266289316267
Luna,New Mexico,2021,0.026814335115985567,0.4,24627,417,19.216084489,31,6.1779431664,8.30522427698617,26.683478984,11.902641733,700.97767939,755.9,8340.4255319,8206.44008608438,1693.2634912900476,8206.44008608438
Lunenburg,Virginia,177,0.016976814896273364,0.3333333333333333,12450,216,20.163635584,53,3.8787120975,28.840375329709335,21.366632995,3.2397003745,166.94490818,441.4,3698.3669548999997,1421.686746987952,1734.9397590361446,1421.686746987952
Luzerne,Pennsylvania,10758,0.02943716263095862,0.6666666666666666,318917,5067,19.307997325,47,4.8454610778,358.19636626731926,17.470787951,5.4054910511,264.46802635,344.1,2354.0097078999997,3373.29148336401,1588.814644562692,3373.29148336401
Lycoming,Pennsylvania,2600,0.028431141726683175,0.5,116313,1530,19.313530052,51,4.2506314781,94.6711618392972,16.198109626,4.7957433402,211.99103876,329.4,2302.6451533,2235.3477255336893,1315.4161615640555,2235.3477255336893
Lynchburg city,Virginia,2861,0.02856905033950664,0.5,78755,974,17.485877038,52,4.4951131687,1603.0503543350117,19.682801389,3.9997773262,423.02995203,774.1,1406.9298441,3632.7852199860326,1236.746873214399,3632.7852199860326
Lynn,Texas,400,0.021265019875299496,0.5,5723,94,15.659791772,31,5.9690397258,6.416878918810185,23.562188317,3.2467532468,121.40455734,238.9,4617.6046176,6989.341254586755,1642.4951948278874,6989.341254586755
Lyon,Kentucky,2812,-3.4536607295757418,0.9683544303797469,26208.407086614174,358.15748031496065,17.35849863412677,45.25905511811023,4.01410751174685,32.15433515306628,15.949901768937009,3.714631502622362,142.858609170437,308.8671653543307,2354.410727048661,10729.381570985352,1366.5747755340994,10729.381570985352
Mackinac,Michigan,315,0.02084392289571793,0.5,10998,189,18.78896244,23,4.2265905931,10.761890798744346,17.591514765,9.6510040944,273.83506002,168,1751.5051998000001,2864.1571194762682,1718.494271685761,2864.1571194762682
